id,"level","place_name","place_id",yr,index_nsa
1,"MSA","Abilene, TX","10180",1986,101.31
2,"MSA","Abilene, TX","10180",1987,96.67
3,"MSA","Abilene, TX","10180",1988,84.17
4,"MSA","Abilene, TX","10180",1989,81.9
5,"MSA","Abilene, TX","10180",1990,80.25
6,"MSA","Abilene, TX","10180",1991,85.48
7,"MSA","Abilene, TX","10180",1992,91.49
8,"MSA","Abilene, TX","10180",1993,96.5
9,"MSA","Abilene, TX","10180",1994,98.3
10,"MSA","Abilene, TX","10180",1995,100.92
11,"MSA","Abilene, TX","10180",1996,105.37
12,"MSA","Abilene, TX","10180",1997,107.22
13,"MSA","Abilene, TX","10180",1998,109.54
14,"MSA","Abilene, TX","10180",1999,113.73
15,"MSA","Abilene, TX","10180",2000,114.91
16,"MSA","Abilene, TX","10180",2001,120.06
17,"MSA","Abilene, TX","10180",2002,123.27
18,"MSA","Abilene, TX","10180",2003,126.47
19,"MSA","Abilene, TX","10180",2004,132.12
20,"MSA","Abilene, TX","10180",2005,141.15
21,"MSA","Abilene, TX","10180",2006,153.3
22,"MSA","Abilene, TX","10180",2007,162.69
23,"MSA","Abilene, TX","10180",2008,165.56
24,"MSA","Abilene, TX","10180",2009,169.61
25,"MSA","Abilene, TX","10180",2010,169.42
26,"MSA","Abilene, TX","10180",2011,167.08
27,"MSA","Abilene, TX","10180",2012,169.79
28,"MSA","Abilene, TX","10180",2013,175.86
29,"MSA","Abilene, TX","10180",2014,185.35
30,"MSA","Abilene, TX","10180",2015,190.76
31,"MSA","Abilene, TX","10180",2016,200.6
32,"MSA","Abilene, TX","10180",2017,209.84
33,"MSA","Akron, OH","10420",1976,39.23
34,"MSA","Akron, OH","10420",1977,42.98
35,"MSA","Akron, OH","10420",1978,49.92
36,"MSA","Akron, OH","10420",1979,55.32
37,"MSA","Akron, OH","10420",1980,56.44
38,"MSA","Akron, OH","10420",1981,56.73
39,"MSA","Akron, OH","10420",1982,55.66
40,"MSA","Akron, OH","10420",1983,57.61
41,"MSA","Akron, OH","10420",1984,57.33
42,"MSA","Akron, OH","10420",1985,59.38
43,"MSA","Akron, OH","10420",1986,62.78
44,"MSA","Akron, OH","10420",1987,67.02
45,"MSA","Akron, OH","10420",1988,70.95
46,"MSA","Akron, OH","10420",1989,74.93
47,"MSA","Akron, OH","10420",1990,79.83
48,"MSA","Akron, OH","10420",1991,83.58
49,"MSA","Akron, OH","10420",1992,88.48
50,"MSA","Akron, OH","10420",1993,93.15
51,"MSA","Akron, OH","10420",1994,97.46
52,"MSA","Akron, OH","10420",1995,102.44
53,"MSA","Akron, OH","10420",1996,108.25
54,"MSA","Akron, OH","10420",1997,113.17
55,"MSA","Akron, OH","10420",1998,119.34
56,"MSA","Akron, OH","10420",1999,123.57
57,"MSA","Akron, OH","10420",2000,126.99
58,"MSA","Akron, OH","10420",2001,134.25
59,"MSA","Akron, OH","10420",2002,138.3
60,"MSA","Akron, OH","10420",2003,142.4
61,"MSA","Akron, OH","10420",2004,146.2
62,"MSA","Akron, OH","10420",2005,151.06
63,"MSA","Akron, OH","10420",2006,151.19
64,"MSA","Akron, OH","10420",2007,148.71
65,"MSA","Akron, OH","10420",2008,144.38
66,"MSA","Akron, OH","10420",2009,140.64
67,"MSA","Akron, OH","10420",2010,136.47
68,"MSA","Akron, OH","10420",2011,131.07
69,"MSA","Akron, OH","10420",2012,127.96
70,"MSA","Akron, OH","10420",2013,129.81
71,"MSA","Akron, OH","10420",2014,133.47
72,"MSA","Akron, OH","10420",2015,138.97
73,"MSA","Akron, OH","10420",2016,143.17
74,"MSA","Akron, OH","10420",2017,150.81
75,"MSA","Albany, GA","10500",1986,86.19
76,"MSA","Albany, GA","10500",1987,86.67
77,"MSA","Albany, GA","10500",1988,88.76
78,"MSA","Albany, GA","10500",1989,87.08
79,"MSA","Albany, GA","10500",1990,90.32
80,"MSA","Albany, GA","10500",1991,91.27
81,"MSA","Albany, GA","10500",1992,93.6
82,"MSA","Albany, GA","10500",1993,96.57
83,"MSA","Albany, GA","10500",1994,98.76
84,"MSA","Albany, GA","10500",1995,102.24
85,"MSA","Albany, GA","10500",1996,107
86,"MSA","Albany, GA","10500",1997,111.37
87,"MSA","Albany, GA","10500",1998,115.23
88,"MSA","Albany, GA","10500",1999,118.51
89,"MSA","Albany, GA","10500",2000,122.08
90,"MSA","Albany, GA","10500",2001,126.9
91,"MSA","Albany, GA","10500",2002,130.52
92,"MSA","Albany, GA","10500",2003,135.82
93,"MSA","Albany, GA","10500",2004,140.91
94,"MSA","Albany, GA","10500",2005,149.6
95,"MSA","Albany, GA","10500",2006,158.04
96,"MSA","Albany, GA","10500",2007,164.78
97,"MSA","Albany, GA","10500",2008,166.81
98,"MSA","Albany, GA","10500",2009,163.07
99,"MSA","Albany, GA","10500",2010,157.61
100,"MSA","Albany, GA","10500",2011,150.02
101,"MSA","Albany, GA","10500",2012,146.45
102,"MSA","Albany, GA","10500",2013,146.31
103,"MSA","Albany, GA","10500",2014,143.4
104,"MSA","Albany, GA","10500",2015,144.19
105,"MSA","Albany, GA","10500",2016,146.88
106,"MSA","Albany, GA","10500",2017,150.86
107,"MSA","Albany, OR","10540",1988,48.01
108,"MSA","Albany, OR","10540",1989,51.79
109,"MSA","Albany, OR","10540",1990,57.7
110,"MSA","Albany, OR","10540",1991,64.12
111,"MSA","Albany, OR","10540",1992,70.36
112,"MSA","Albany, OR","10540",1993,80.04
113,"MSA","Albany, OR","10540",1994,91.9
114,"MSA","Albany, OR","10540",1995,103.36
115,"MSA","Albany, OR","10540",1996,110.87
116,"MSA","Albany, OR","10540",1997,117.56
117,"MSA","Albany, OR","10540",1998,123.55
